,Yt.1M,Industry,MR,TRC,BAB,EV,P/B,PSR,ROA,C/A,D/A,PG,AG,cluster
154,-0.0296,M1721 ¤Æ¾Ç¤u·~,0.0496,0.0408,0.2944,13554682190.0,0.58,1.2972,0.19,0.0197,91.09,1.0237,0.0944,1
155,0.0395,M1722 ¥Í§ÞÂåÀø,0.0149,0.0038,0.3758,11710365713.0,2.24,7.2584,3.08,0.1634,30.45,0.1978,0.052,0
156,-0.0686,M1721 ¤Æ¾Ç¤u·~,0.0484,-0.3683,0.0103,2800993994.0,1.35,5.1843,-2.04,0.1685,44.77,-0.4748,-0.0504,1
157,0.0047,M1721 ¤Æ¾Ç¤u·~,-0.0507,0.6936,0.2141,59849678000.0,1.11,18.146,0.4,0.0603,32.59,-0.362,0.0143,1
158,-0.0396,M1721 ¤Æ¾Ç¤u·~,0.0,-0.5026,0.1489,25759998156.0,3.41,14.8967,2.53,0.0624,22.74,-0.1489,-0.0247,1
159,0.085,M1721 ¤Æ¾Ç¤u·~,1.1026,0.1959,0.8904,7858309806.0,1.31,4.093,0.72,0.1047,37.31,1.3628,0.0371,1
160,-0.0037,M1721 ¤Æ¾Ç¤u·~,0.0814,2.2855,0.1348,12570001200.0,1.27,5.5003,2.04,0.1646,14.46,0.1379,0.0508,1
161,-0.0051,M1721 ¤Æ¾Ç¤u·~,0.0679,-0.7143,0.3729,3614387052.0,1.88,7.921,0.02,0.0587,31.77,-1.0205,0.0557,1
162,-0.0018,M1721 ¤Æ¾Ç¤u·~,-0.0106,-0.0525,-0.0031,3360215225.0,1.89,5.0489,2.34,0.3446,21.58,-0.2964,0.0153,1
163,0.0098,M1722 ¥Í§ÞÂåÀø,0.0658,-0.1086,0.7292,3189739900.0,1.67,7.8237,1.97,0.0548,30.55,0.098,0.138,0
