Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
-0.0251,0.328,0.1881,3149 正達,M2326 光電業,-0.19,0.0307,10,-0.6465,0.0975,10,-0.6091,0.1051,9,0.6107,0.3111,7,"4,854,701,662",0.7251,3,2.68,0.2508,8,11.7578,0.3483,7,-0.55,0.1457,9,0.08,0.1895,9,0.1076,0.3757,7,66.35,0.1446,9,0.6605,0.6254,4,-0.0308,0.23,8
-0.037,-0.0006,0.0273,3164 景岳,M1722 生技醫療,0.0149,0.3614,7,0.0651,0.5531,5,0.0735,0.5772,5,0.3231,0.6594,4,"1,945,233,973",0.9244,1,1.47,0.5991,5,17.2267,0.2223,8,2.24,0.5772,5,1.96,0.747,3,0.0542,0.1895,9,15.68,0.9255,1,3.2162,0.9014,2,0.0154,0.4162,6
0.4566,0.1768,0.0323,3167 大量,M1500 電機機械,-0.1075,0.0975,10,0.9176,0.7886,3,0.8235,0.7952,3,0.7369,0.2191,8,"4,871,906,854",0.7229,3,2.33,0.3176,7,12.2161,0.3341,7,-0.76,0.1303,9,-0.28,0.1303,9,0.1073,0.3746,7,49.41,0.3932,7,0.3029,0.4995,6,-0.046,0.1785,9
0.0792,0.2634,-0.0354,3189 景碩,M2324 半導體,-0.0525,0.1774,9,-0.415,0.2355,8,-0.4047,0.2366,8,0.4387,0.5148,5,"43,237,251,007",0.1818,9,1.43,0.6243,4,6.1817,0.6079,4,1.01,0.3647,7,0.59,0.3746,7,0.1911,0.6407,4,51.05,0.3647,7,2.0573,0.8467,2,0.0777,0.6846,4
0.0491,0.0595,0.0127,3209 全科,M2329 電子通路業,-0.0317,0.2234,8,-0.2488,0.3647,7,-0.2072,0.3932,7,0.3238,0.6561,4,"7,749,085,804",0.5783,5,1.84,0.4732,6,0.7181,0.9978,1,2.5,0.6199,4,1.04,0.5093,5,0.0233,0.0734,10,76.79,0.0668,10,-0.0514,0.3012,8,-0.2924,0.0066,10
0.6634,0.835,0.5761,3229 晟鈦,M2328 電子零組件,0.0198,0.3801,7,-0.6679,0.0843,10,-0.6383,0.0832,10,0.3388,0.6342,4,"992,863,350",0.9869,1,1.6,0.5553,5,4.8936,0.7076,3,0.44,0.2727,8,0.38,0.3078,7,0.1438,0.4819,6,28.07,0.7689,3,6.5027,0.9496,1,-0.0867,0.0865,10
-0.1153,-0.0717,-0.0766,3231 緯創,M2325 電腦及週邊,-0.1188,0.0865,10,-0.2448,0.3713,7,-0.2376,0.379,7,0.7627,0.2015,9,"324,992,666,841",0.0329,10,3.2,0.1829,9,1.3642,0.965,1,4.6,0.8499,2,1.72,0.7032,3,0.1425,0.4775,6,69.48,0.115,9,19.2783,0.9825,1,0.084,0.7097,3
-0.1952,-0.0742,-0.0242,3257 虹冠電,M2324 半導體,-0.0898,0.1172,9,-0.185,0.4085,6,-0.086,0.4797,6,0.5588,0.3713,7,"4,925,115,503",0.7174,3,3.85,0.1271,9,23.3442,0.1522,9,3.99,0.7952,3,3.29,0.9244,1,0.1782,0.609,4,23.33,0.839,2,1.0463,0.7163,3,0.1935,0.8927,2
-0.0223,0.0976,0.1106,3266 昇陽,M2500 建材營造,0.2079,0.7908,3,3.0683,0.9113,1,2.4374,0.9124,1,0.4485,0.5082,5,"7,839,099,070",0.575,5,1.05,0.8149,2,7.1603,0.5553,5,2.55,0.6276,4,1.2,0.552,5,0.0923,0.3286,7,52.24,0.3505,7,9.5574,0.965,1,-0.0982,0.0679,10
-0.0127,0.1311,0.1142,3296 勝德,M2328 電子零組件,0.0591,0.4995,6,0.0804,0.5608,5,0.0101,0.5444,5,0.911,0.1128,9,"2,253,679,685",0.9014,2,1.92,0.4425,6,5.8259,0.6364,4,0.33,0.2497,8,0.38,0.31,7,0.2838,0.8467,2,44.8,0.4874,6,1.0859,0.7218,3,-0.0533,0.1566,9
